id_experimento,MH,paramMH,ML,paramML,ML_FS,paramML_FS,estado,fk_id_instancia
1,PSA,"iter:100,pop:10",,,,,terminado,7
2,PSA,"iter:100,pop:10",,,,,terminado,7
3,PSA,"iter:100,pop:10",,,,,terminado,7
4,SCA,"iter:100,pop:10",,,,,terminado,7
5,SCA,"iter:100,pop:10",,,,,terminado,7
6,SCA,"iter:100,pop:10",,,,,terminado,7
7,RSA,"iter:100,pop:10",,,,,terminado,7
8,RSA,"iter:100,pop:10",,,,,terminado,7
9,RSA,"iter:100,pop:10",,,,,terminado,7
10,WOA,"iter:100,pop:10",,,,,terminado,7
11,WOA,"iter:100,pop:10",,,,,terminado,7
12,WOA,"iter:100,pop:10",,,,,terminado,7
13,GWO,"iter:100,pop:10",,,,,terminado,7
14,GWO,"iter:100,pop:10",,,,,terminado,7
15,GWO,"iter:100,pop:10",,,,,terminado,7
16,PSA,"iter:100,pop:10",,,,,terminado,8
17,PSA,"iter:100,pop:10",,,,,terminado,8
18,PSA,"iter:100,pop:10",,,,,terminado,8
19,SCA,"iter:100,pop:10",,,,,terminado,8
20,SCA,"iter:100,pop:10",,,,,terminado,8
21,SCA,"iter:100,pop:10",,,,,terminado,8
22,RSA,"iter:100,pop:10",,,,,terminado,8
23,RSA,"iter:100,pop:10",,,,,terminado,8
24,RSA,"iter:100,pop:10",,,,,terminado,8
25,WOA,"iter:100,pop:10",,,,,terminado,8
26,WOA,"iter:100,pop:10",,,,,terminado,8
27,WOA,"iter:100,pop:10",,,,,terminado,8
28,GWO,"iter:100,pop:10",,,,,terminado,8
29,GWO,"iter:100,pop:10",,,,,terminado,8
30,GWO,"iter:100,pop:10",,,,,terminado,8
31,PSA,"iter:100,pop:10",,,,,terminado,9
32,PSA,"iter:100,pop:10",,,,,terminado,9
33,PSA,"iter:100,pop:10",,,,,terminado,9
34,SCA,"iter:100,pop:10",,,,,terminado,9
35,SCA,"iter:100,pop:10",,,,,terminado,9
36,SCA,"iter:100,pop:10",,,,,terminado,9
37,RSA,"iter:100,pop:10",,,,,terminado,9
38,RSA,"iter:100,pop:10",,,,,terminado,9
39,RSA,"iter:100,pop:10",,,,,terminado,9
40,WOA,"iter:100,pop:10",,,,,terminado,9
41,WOA,"iter:100,pop:10",,,,,terminado,9
42,WOA,"iter:100,pop:10",,,,,terminado,9
43,GWO,"iter:100,pop:10",,,,,terminado,9
44,GWO,"iter:100,pop:10",,,,,terminado,9
45,GWO,"iter:100,pop:10",,,,,terminado,9
46,PSA,"iter:100,pop:10",,,,,terminado,10
47,PSA,"iter:100,pop:10",,,,,terminado,10
48,PSA,"iter:100,pop:10",,,,,terminado,10
49,SCA,"iter:100,pop:10",,,,,terminado,10
50,SCA,"iter:100,pop:10",,,,,terminado,10
51,SCA,"iter:100,pop:10",,,,,terminado,10
52,RSA,"iter:100,pop:10",,,,,terminado,10
53,RSA,"iter:100,pop:10",,,,,terminado,10
54,RSA,"iter:100,pop:10",,,,,terminado,10
55,WOA,"iter:100,pop:10",,,,,terminado,10
56,WOA,"iter:100,pop:10",,,,,terminado,10
57,WOA,"iter:100,pop:10",,,,,terminado,10
58,GWO,"iter:100,pop:10",,,,,terminado,10
59,GWO,"iter:100,pop:10",,,,,terminado,10
60,GWO,"iter:100,pop:10",,,,,terminado,10
61,PSA,"iter:100,pop:10",,,,,terminado,7
62,PSA,"iter:100,pop:10",,,,,terminado,7
63,PSA,"iter:100,pop:10",,,,,terminado,7
64,SCA,"iter:100,pop:10",,,,,terminado,7
65,SCA,"iter:100,pop:10",,,,,terminado,7
66,SCA,"iter:100,pop:10",,,,,terminado,7
67,RSA,"iter:100,pop:10",,,,,terminado,7
68,RSA,"iter:100,pop:10",,,,,terminado,7
69,RSA,"iter:100,pop:10",,,,,terminado,7
70,WOA,"iter:100,pop:10",,,,,terminado,7
71,WOA,"iter:100,pop:10",,,,,terminado,7
72,WOA,"iter:100,pop:10",,,,,terminado,7
73,GWO,"iter:100,pop:10",,,,,terminado,7
74,GWO,"iter:100,pop:10",,,,,terminado,7
75,GWO,"iter:100,pop:10",,,,,terminado,7
76,PSA,"iter:100,pop:10",,,,,terminado,8
77,PSA,"iter:100,pop:10",,,,,terminado,8
78,PSA,"iter:100,pop:10",,,,,terminado,8
79,SCA,"iter:100,pop:10",,,,,terminado,8
80,SCA,"iter:100,pop:10",,,,,terminado,8
81,SCA,"iter:100,pop:10",,,,,terminado,8
82,RSA,"iter:100,pop:10",,,,,terminado,8
83,RSA,"iter:100,pop:10",,,,,terminado,8
84,RSA,"iter:100,pop:10",,,,,terminado,8
85,WOA,"iter:100,pop:10",,,,,terminado,8
86,WOA,"iter:100,pop:10",,,,,terminado,8
87,WOA,"iter:100,pop:10",,,,,terminado,8
88,GWO,"iter:100,pop:10",,,,,terminado,8
89,GWO,"iter:100,pop:10",,,,,terminado,8
90,GWO,"iter:100,pop:10",,,,,terminado,8
91,PSA,"iter:100,pop:10",,,,,terminado,9
92,PSA,"iter:100,pop:10",,,,,terminado,9
93,PSA,"iter:100,pop:10",,,,,terminado,9
94,SCA,"iter:100,pop:10",,,,,terminado,9
95,SCA,"iter:100,pop:10",,,,,terminado,9
96,SCA,"iter:100,pop:10",,,,,terminado,9
97,RSA,"iter:100,pop:10",,,,,terminado,9
98,RSA,"iter:100,pop:10",,,,,terminado,9
99,RSA,"iter:100,pop:10",,,,,terminado,9
100,WOA,"iter:100,pop:10",,,,,terminado,9
101,WOA,"iter:100,pop:10",,,,,terminado,9
102,WOA,"iter:100,pop:10",,,,,terminado,9
103,GWO,"iter:100,pop:10",,,,,terminado,9
104,GWO,"iter:100,pop:10",,,,,terminado,9
105,GWO,"iter:100,pop:10",,,,,terminado,9
106,PSA,"iter:100,pop:10",,,,,terminado,10
