id_resultado,fitness,tiempoEjecucion,solucion,fk_id_experimento
1,72.1419912602023,1.584,"[-0.7027118326580293, 0.3376998272672245, 1.0117640851852978, 1.1241769375684991, 0.6103318664677072, -0.5751556339205198, -0.10951579582165569, 0.6460311263277616, 0.7973718241557153, -0.2325891665989815, -0.4265527061358903, 0.2931360862382514, 0.21592880070770215, -0.47402755309293937, -0.6379654487034684, -0.7216835901531128, 0.34033952880954654, -0.04680165567333162, 0.14807304147937356, -0.3779169917180151, 0.7750123063120895, -0.7649745932422656, -0.6836796063142717, 0.22001508087542515, 0.14380316924959927, 0.05928691611105451, -0.5419924602592155, 0.7963804645687996, 0.5922882706642113, -0.7578373600936358]",1
2,40.5499133699014,1.411,"[-1.28, -0.06181424551978925, -0.7129218686172178, 0.6162736409944591, 0.24433818803068524, -0.7435834984396567, -0.8000996446822548, -0.353248021998551, -0.24137769025396003, 1.2324124101460965, -0.6482238282810967, -0.1407705879656558, 0.18124295028796303, -0.515085300044199, 0.5789137143997887, -0.5315891502530851, 0.30264720884558793, 0.21349222401586662, 0.006197847870486843, 0.4130637711488776, 0.18177838788053247, -0.04687254525539742, -0.02230719036528288, -0.19485743979701756, -0.30113331367812207, -0.4297339588519529, -0.06391082819452297, -0.3942765579911277, 0.05026986966896596, 0.16155255347407804]",2
3,85.6641552917116,1.503,"[-1.2402305924369843, -0.6671564033602194, -0.46828058801883404, 0.5619230562778121, 0.9761298281156353, 0.5594771290391262, 0.5521475401676867, -1.06345774273531, 1.104668879280932, -0.445546115569391, 0.2002421432036449, -0.5574140123534894, -0.467702830754553, 0.49126330552161107, -0.15462174783280289, 0.28928801418153166, 0.2620450821350575, -1.2781225121904516, 0.03743720599133676, -0.3006396412749194, -0.2242753137080553, -0.30344147034833985, 0.004891552599195333, 0.34560162700101815, 0.24927440718939328, -0.31713271269797133, 0.18367739145188286, -0.3008720348509779, -0.3280116221504855, -0.0030124240785269333]",3
4,11.527063559494,1.551,"[1.11386818498409, 0.7581034737132037, -0.03245131921106899, -0.8651680966384377, -0.39222960489110853, 0.3634003531244056, 0.558362838122348, -0.015856572492211767, -0.0010452506803084486, 0.5668392490134222, 0.009897034248637566, 0.07733064986529999, -0.19515017636923718, 0.14331126905742886, 0.0611751461412531, 0.13654331422204175, 0.6748569544260464, -0.312651764690287, -0.45069212554592064, 0.058779861598940025, 0.0624222695417166, 0.25461257079267996, -0.0013838509712391209, 0.1028494751681335, 0.34256441927666287, -0.007478657163269691, -0.03696064777527677, 0.1329825701539353, 0.0062442022942260315, 0.01436936396197142]",4
5,10.7724937259393,1.935,"[-0.28442879911332697, -0.6611666898288219, -0.8064189893853476, -0.014191517680597869, -0.15676179379612887, -0.05927069691287716, -0.01994521201662762, 0.10322372761493585, 0.5095838493764119, 0.44124724674800786, 0.22252780554050383, -0.3547490283960742, 0.6020474786304489, -0.036165233561284864, -0.12239080807545495, 0.3356496370867125, 0.1173263959656232, 0.164391332512971, 0.10284153099736348, -0.1590474393628159, 0.22809041302341754, -0.25366514861405987, 0.10825605992757492, 0.24473992863654512, 0.567535546764365, 0.0022446268371115546, 0.2671870179932851, 0.5357649095174846, 0.1887848947875208, 0.09203322707359826]",5
6,29.3935519681233,2.024,"[-1.0748918036054325, -0.7744472389458529, 1.104708498657961, 0.8008859925870488, 0.0523159338658928, -0.661960840165329, -0.22151300125422543, -0.7584809176831852, 0.7990727424473221, -0.0996869096666729, 0.3634677116790128, -0.5138710141746188, -0.7625978774220681, 0.02699576872135113, 0.22279586805758023, -0.19244355397389856, -0.005419707856828958, -0.008934969036833216, 0.1952971362682827, -0.24661026417502308, 0.03529036611532064, -0.08017314647356358, 0.08429111172980774, 0.2385880535648648, -0.6713770108039113, -0.0378702953256377, 0.4884812121744993, -0.33139685113772266, -0.3239766582638442, -0.022352872808812825]",6
7,0.00436333808121381,4.526,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7
8,0.000923958271444203,4.396,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0]",8
9,0.0011277354332021,4.677,"[-0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0]",9
10,0.701203648803037,1.81,"[-0.5150632327426726, 0.030346649359691683, -0.10628322779095085, 0.19328801143535643, 0.31816180321366255, 0.10482928027126036, -0.3263036269812252, 0.11222817037942846, -0.12641335179070406, 0.10429171693033114, 0.19752031987818325, -0.20071703377845102, 0.2607357082944734, -0.004457744459065541, -0.2419286923718302, 0.205041181012921, -0.17156895130701144, 0.09201607552442093, -0.03526928302206258, -0.2663036190716236, 0.1080872834278655, 0.08422892728238517, 0.16348502282340016, 0.16704546798447, 0.1559536590947505, -0.23902707308379567, 0.010217704968299305, 0.07226045133588455, 0.019025848733817373, 0.15156377638446716]",10
