"","GWO","PSA","RSA","SCA","Inst"
"PSA",3.25739435425021e-13,NA,NA,NA,"F7"
"RSA",0.133711727710001,0,NA,NA,"F7"
"SCA",1.13743833953794e-05,0.115794936808814,5.53446177775641e-13,NA,"F7"
"WOA",0.114327027414938,1.17143365915284e-05,7.96498688138136e-06,0.154502799954098,"F7"
"PSA1",1.06137321154165e-13,NA,NA,NA,"F8"
"RSA1",0.112873252911837,5.89454618826757e-06,NA,NA,"F8"
"SCA1",0.00443889852033008,0.00104896718371728,0.855209944004177,NA,"F8"
"WOA1",0,0.7688196506984,2.34364694318145e-09,2.15968729433413e-06,"F8"
"PSA2",1.12277964703367e-11,NA,NA,NA,"F9"
"RSA2",0.124417976672956,0,NA,NA,"F9"
"SCA2",0.0776730707915388,0.000225230076720817,2.75249433934199e-06,NA,"F9"
"WOA2",2.13959126293961e-06,0.446006788818236,3.2085445411667e-14,0.112377711185849,"F9"
"PSA3",0.000205749439385672,NA,NA,NA,"F10"
"RSA3",0.125164600975915,4.53045378989714e-11,NA,NA,"F10"
"SCA3",1.43165522659139e-07,0.723222650872546,5.55111512312578e-16,NA,"F10"
"WOA3",1.16730231189965e-05,0.983675387611713,4.50972592602739e-13,0.955175965017561,"F10"
